Configuration,SIZE,Posit_FFT,Float_FFT,Posit_IFFT,Float_IFFT,Posit_SIN,Float_SIN,Posit_COS,Float_COS,Type,Label
TERMS_2_N_28_ES_0_SIZE_1024_APP,1024,21.5292,16.9888,39.3649,32.8853,,,,,APP,"T:2 (28,0)"
TERMS_2_N_28_ES_0_SIZE_1024_NAPP,1024,21.5292,16.9888,38.7207,32.3196,,,,,NAPP,"T:2 (28,0)"
TERMS_2_N_28_ES_0_SIZE_128_APP,128,129.113,133.056,136.989,134.129,145.159,140.492,143.063,136.978,APP,"T:2 (28,0)"
TERMS_2_N_28_ES_0_SIZE_128_NAPP,128,129.113,133.056,136.969,136.596,144.931,140.447,143.063,136.978,NAPP,"T:2 (28,0)"
TERMS_2_N_28_ES_0_SIZE_2048_APP,2048,16.8997,15.2206,26.9927,23.7157,,,,,APP,"T:2 (28,0)"
TERMS_2_N_28_ES_0_SIZE_2048_NAPP,2048,16.8997,15.2206,26.686,23.4606,,,,,NAPP,"T:2 (28,0)"
TERMS_2_N_28_ES_0_SIZE_256_APP,256,128.136,134.322,136.768,131.156,145.004,140.383,143.209,137.5,APP,"T:2 (28,0)"
TERMS_2_N_28_ES_0_SIZE_256_NAPP,256,128.136,134.322,137.291,131.788,144.736,140.341,143.209,137.5,NAPP,"T:2 (28,0)"
TERMS_2_N_28_ES_0_SIZE_512_APP,512,122.893,28.2011,132.076,27.5293,,,,,APP,"T:2 (28,0)"
TERMS_2_N_28_ES_0_SIZE_512_NAPP,512,122.893,28.2011,132.702,26.8439,,,,,NAPP,"T:2 (28,0)"
TERMS_2_N_28_ES_0_SIZE_64_APP,64,129.983,137.483,139.266,139.319,144.779,140.312,143.538,137.275,APP,"T:2 (28,0)"
TERMS_2_N_28_ES_0_SIZE_64_NAPP,64,129.983,137.483,139.393,138.685,144.666,140.229,143.538,137.275,NAPP,"T:2 (28,0)"
TERMS_2_N_28_ES_1_SIZE_1024_APP,1024,17.7268,16.9888,32.0794,32.8853,,,,,APP,"T:2 (28,1)"
TERMS_2_N_28_ES_1_SIZE_1024_NAPP,1024,17.7268,16.9888,31.5839,32.3196,,,,,NAPP,"T:2 (28,1)"
TERMS_2_N_28_ES_1_SIZE_128_APP,128,122.942,133.056,131.222,134.129,139.275,140.492,137.729,136.978,APP,"T:2 (28,1)"
TERMS_2_N_28_ES_1_SIZE_128_NAPP,128,122.942,133.056,131.184,136.596,139.442,140.447,137.729,136.978,NAPP,"T:2 (28,1)"
TERMS_2_N_28_ES_1_SIZE_2048_APP,2048,13.6263,15.2206,20.9225,23.7157,,,,,APP,"T:2 (28,1)"
TERMS_2_N_28_ES_1_SIZE_2048_NAPP,2048,13.6263,15.2206,20.7219,23.4606,,,,,NAPP,"T:2 (28,1)"
TERMS_2_N_28_ES_1_SIZE_256_APP,256,121.1,134.322,131.156,131.156,139.055,140.383,137.612,137.5,APP,"T:2 (28,1)"
TERMS_2_N_28_ES_1_SIZE_256_NAPP,256,121.1,134.322,131.824,131.788,139.035,140.341,137.612,137.5,NAPP,"T:2 (28,1)"
TERMS_2_N_28_ES_1_SIZE_512_APP,512,48.6945,28.2011,52.0547,27.5293,,,,,APP,"T:2 (28,1)"
TERMS_2_N_28_ES_1_SIZE_512_NAPP,512,48.6945,28.2011,51.662,26.8439,,,,,NAPP,"T:2 (28,1)"
TERMS_2_N_28_ES_1_SIZE_64_APP,64,124.871,137.483,133.727,139.319,138.649,140.312,137.514,137.275,APP,"T:2 (28,1)"
TERMS_2_N_28_ES_1_SIZE_64_NAPP,64,124.871,137.483,135.095,138.685,138.835,140.229,137.514,137.275,NAPP,"T:2 (28,1)"
TERMS_2_N_28_ES_2_SIZE_1024_APP,1024,15.2906,16.9888,26.2182,32.8853,,,,,APP,"T:2 (28,2)"
TERMS_2_N_28_ES_2_SIZE_1024_NAPP,1024,15.2906,16.9888,25.8759,32.3196,,,,,NAPP,"T:2 (28,2)"
TERMS_2_N_28_ES_2_SIZE_128_APP,128,117.084,133.056,126.001,134.129,132.996,140.492,130.824,136.978,APP,"T:2 (28,2)"
TERMS_2_N_28_ES_2_SIZE_128_NAPP,128,117.084,133.056,125.876,136.596,132.764,140.447,130.824,136.978,NAPP,"T:2 (28,2)"
TERMS_2_N_28_ES_2_SIZE_2048_APP,2048,9.73413,15.2206,14.8581,23.7157,,,,,APP,"T:2 (28,2)"
TERMS_2_N_28_ES_2_SIZE_2048_NAPP,2048,9.73413,15.2206,14.7232,23.4606,,,,,NAPP,"T:2 (28,2)"
TERMS_2_N_28_ES_2_SIZE_256_APP,256,114.965,134.322,125.117,131.156,132.914,140.383,130.703,137.5,APP,"T:2 (28,2)"
TERMS_2_N_28_ES_2_SIZE_256_NAPP,256,114.965,134.322,125.122,131.788,132.646,140.341,130.703,137.5,NAPP,"T:2 (28,2)"
TERMS_2_N_28_ES_2_SIZE_512_APP,512,28.5396,28.2011,27.2532,27.5293,,,,,APP,"T:2 (28,2)"
TERMS_2_N_28_ES_2_SIZE_512_NAPP,512,28.5396,28.2011,26.5629,26.8439,,,,,NAPP,"T:2 (28,2)"
TERMS_2_N_28_ES_2_SIZE_64_APP,64,118.437,137.483,126.803,139.319,132.715,140.312,131.052,137.275,APP,"T:2 (28,2)"
TERMS_2_N_28_ES_2_SIZE_64_NAPP,64,118.437,137.483,128.399,138.685,132.295,140.229,131.052,137.275,NAPP,"T:2 (28,2)"
TERMS_2_N_32_ES_0_SIZE_1024_APP,1024,146.327,16.9888,152.957,32.8853,,,,,APP,"T:2 (32,0)"
TERMS_2_N_32_ES_0_SIZE_1024_NAPP,1024,146.327,16.9888,152.416,32.3196,,,,,NAPP,"T:2 (32,0)"
TERMS_2_N_32_ES_0_SIZE_128_APP,128,152.979,133.056,162.204,134.129,168.888,140.492,167.742,136.978,APP,"T:2 (32,0)"
TERMS_2_N_32_ES_0_SIZE_128_NAPP,128,152.979,133.056,162.51,136.596,168.695,140.447,167.742,136.978,NAPP,"T:2 (32,0)"
TERMS_2_N_32_ES_0_SIZE_2048_APP,2048,138.488,15.2206,151.77,23.7157,,,,,APP,"T:2 (32,0)"
TERMS_2_N_32_ES_0_SIZE_2048_NAPP,2048,138.488,15.2206,151.833,23.4606,,,,,NAPP,"T:2 (32,0)"
TERMS_2_N_32_ES_0_SIZE_256_APP,256,150.224,134.322,160.457,131.156,169.188,140.383,166.844,137.5,APP,"T:2 (32,0)"
TERMS_2_N_32_ES_0_SIZE_256_NAPP,256,150.224,134.322,161.569,131.788,169.102,140.341,166.844,137.5,NAPP,"T:2 (32,0)"
TERMS_2_N_32_ES_0_SIZE_512_APP,512,146.449,28.2011,156.313,27.5293,,,,,APP,"T:2 (32,0)"
TERMS_2_N_32_ES_0_SIZE_512_NAPP,512,146.449,28.2011,156.687,26.8439,,,,,NAPP,"T:2 (32,0)"
TERMS_2_N_32_ES_0_SIZE_64_APP,64,151.536,137.483,165.533,139.319,168.758,140.312,167.896,137.275,APP,"T:2 (32,0)"
TERMS_2_N_32_ES_0_SIZE_64_NAPP,64,151.536,137.483,164.726,138.685,168.548,140.229,167.896,137.275,NAPP,"T:2 (32,0)"
TERMS_2_N_32_ES_1_SIZE_1024_APP,1024,140.527,16.9888,146.53,32.8853,,,,,APP,"T:2 (32,1)"
TERMS_2_N_32_ES_1_SIZE_1024_NAPP,1024,140.527,16.9888,146.512,32.3196,,,,,NAPP,"T:2 (32,1)"
TERMS_2_N_32_ES_1_SIZE_128_APP,128,147.03,133.056,155.411,134.129,163.247,140.492,161.277,136.978,APP,"T:2 (32,1)"
TERMS_2_N_32_ES_1_SIZE_128_NAPP,128,147.03,133.056,155.402,136.596,163.112,140.447,161.277,136.978,NAPP,"T:2 (32,1)"
TERMS_2_N_32_ES_1_SIZE_2048_APP,2048,42.421,15.2206,51.3749,23.7157,,,,,APP,"T:2 (32,1)"
TERMS_2_N_32_ES_1_SIZE_2048_NAPP,2048,42.421,15.2206,50.7136,23.4606,,,,,NAPP,"T:2 (32,1)"
TERMS_2_N_32_ES_1_SIZE_256_APP,256,144.357,134.322,154.561,131.156,163.244,140.383,160.933,137.5,APP,"T:2 (32,1)"
TERMS_2_N_32_ES_1_SIZE_256_NAPP,256,144.357,134.322,155.008,131.788,163.188,140.341,160.933,137.5,NAPP,"T:2 (32,1)"
TERMS_2_N_32_ES_1_SIZE_512_APP,512,140.208,28.2011,150.614,27.5293,,,,,APP,"T:2 (32,1)"
TERMS_2_N_32_ES_1_SIZE_512_NAPP,512,140.208,28.2011,150.741,26.8439,,,,,NAPP,"T:2 (32,1)"
TERMS_2_N_32_ES_1_SIZE_64_APP,64,144.908,137.483,159.369,139.319,162.974,140.312,161.604,137.275,APP,"T:2 (32,1)"
TERMS_2_N_32_ES_1_SIZE_64_NAPP,64,144.908,137.483,158.138,138.685,162.969,140.229,161.604,137.275,NAPP,"T:2 (32,1)"
TERMS_2_N_32_ES_2_SIZE_1024_APP,1024,134.473,16.9888,140.483,32.8853,,,,,APP,"T:2 (32,2)"
TERMS_2_N_32_ES_2_SIZE_1024_NAPP,1024,134.473,16.9888,140.272,32.3196,,,,,NAPP,"T:2 (32,2)"
TERMS_2_N_32_ES_2_SIZE_128_APP,128,139.909,133.056,149.565,134.129,157.311,140.492,154.971,136.978,APP,"T:2 (32,2)"
TERMS_2_N_32_ES_2_SIZE_128_NAPP,128,139.909,133.056,148.856,136.596,157.092,140.447,154.971,136.978,NAPP,"T:2 (32,2)"
TERMS_2_N_32_ES_2_SIZE_2048_APP,2048,25.3426,15.2206,39.8608,23.7157,,,,,APP,"T:2 (32,2)"
TERMS_2_N_32_ES_2_SIZE_2048_NAPP,2048,25.3426,15.2206,39.2641,23.4606,,,,,NAPP,"T:2 (32,2)"
TERMS_2_N_32_ES_2_SIZE_256_APP,256,138.837,134.322,148.599,131.156,157.09,140.383,154.901,137.5,APP,"T:2 (32,2)"
