Configuration,SIZE,Posit_FFT,Float_FFT,Posit_IFFT,Float_IFFT,Posit_SIN,Float_SIN,Posit_COS,Float_COS,Type,Label
TERMS_2_N_28_ES_2_SIZE_256_NAPP,256,36.4847,40.3441,14.7295,14.4894,133.605,140.552,129.978,136.937,NAPP,"T:2 (28,2)"
TERMS_2_N_28_ES_2_SIZE_64_APP,64,72.1654,84.7894,19.3399,18.692,133.619,140.415,131.197,137.359,APP,"T:2 (28,2)"
TERMS_2_N_28_ES_2_SIZE_64_NAPP,64,72.1654,84.7894,20.902,19.8626,133.313,140.692,131.197,137.359,NAPP,"T:2 (28,2)"
TERMS_2_N_32_ES_0_SIZE_128_APP,128,98.0685,47.4658,16.7007,16.5328,171.059,140.587,167.787,137.394,APP,"T:2 (32,0)"
TERMS_2_N_32_ES_0_SIZE_128_NAPP,128,98.0685,47.4658,17.5533,17.2351,170.928,140.442,167.787,137.394,NAPP,"T:2 (32,0)"
TERMS_2_N_32_ES_0_SIZE_256_APP,256,52.7885,40.3441,14.4124,14.3197,171.326,140.391,166.894,136.937,APP,"T:2 (32,0)"
TERMS_2_N_32_ES_0_SIZE_256_NAPP,256,52.7885,40.3441,14.7805,14.4894,171.153,140.552,166.894,136.937,NAPP,"T:2 (32,0)"
TERMS_2_N_32_ES_0_SIZE_64_APP,64,107.69,84.7894,19.3455,18.692,170.808,140.415,168.544,137.359,APP,"T:2 (32,0)"
TERMS_2_N_32_ES_0_SIZE_64_NAPP,64,107.69,84.7894,20.9076,19.8626,170.964,140.692,168.544,137.359,NAPP,"T:2 (32,0)"
TERMS_2_N_32_ES_1_SIZE_128_APP,128,91.9898,47.4658,16.7005,16.5328,166.115,140.587,161.876,137.394,APP,"T:2 (32,1)"
TERMS_2_N_32_ES_1_SIZE_128_NAPP,128,91.9898,47.4658,17.5531,17.2351,166.027,140.442,161.876,137.394,NAPP,"T:2 (32,1)"
TERMS_2_N_32_ES_1_SIZE_256_APP,256,47.6038,40.3441,14.4117,14.3197,166.242,140.391,161.898,136.937,APP,"T:2 (32,1)"
TERMS_2_N_32_ES_1_SIZE_256_NAPP,256,47.6038,40.3441,14.7796,14.4894,166.138,140.552,161.898,136.937,NAPP,"T:2 (32,1)"
TERMS_2_N_32_ES_1_SIZE_64_APP,64,102.542,84.7894,19.3454,18.692,165.924,140.415,162.743,137.359,APP,"T:2 (32,1)"
TERMS_2_N_32_ES_1_SIZE_64_NAPP,64,102.542,84.7894,20.9076,19.8626,166.048,140.692,162.743,137.359,NAPP,"T:2 (32,1)"
TERMS_2_N_32_ES_2_SIZE_128_APP,128,85.9632,47.4658,16.7001,16.5328,160.678,140.587,155.56,137.394,APP,"T:2 (32,2)"
TERMS_2_N_32_ES_2_SIZE_128_NAPP,128,85.9632,47.4658,17.5526,17.2351,160.298,140.442,155.56,137.394,NAPP,"T:2 (32,2)"
TERMS_2_N_32_ES_2_SIZE_256_APP,256,45.9378,40.3441,14.41,14.3197,160.722,140.391,155.658,136.937,APP,"T:2 (32,2)"
TERMS_2_N_32_ES_2_SIZE_256_NAPP,256,45.9378,40.3441,14.7778,14.4894,160.217,140.552,155.658,136.937,NAPP,"T:2 (32,2)"
TERMS_2_N_32_ES_2_SIZE_64_APP,64,97.411,84.7894,19.3453,18.692,159.888,140.415,157.128,137.359,APP,"T:2 (32,2)"
TERMS_2_N_32_ES_2_SIZE_64_NAPP,64,97.411,84.7894,20.9074,19.8626,159.7,140.692,157.128,137.359,NAPP,"T:2 (32,2)"
TERMS_3_N_24_ES_0_SIZE_128_APP,128,49.2223,62.027,17.0703,17.1291,122.518,140.065,119.878,139.159,APP,"T:3 (24,0)"
TERMS_3_N_24_ES_0_SIZE_128_NAPP,128,51.3671,67.4045,22.5686,22.718,123.025,140.122,120.425,139.845,NAPP,"T:3 (24,0)"
TERMS_3_N_24_ES_0_SIZE_256_APP,256,38.0309,54.4373,14.5341,14.744,122.291,139.952,120.176,138.799,APP,"T:3 (24,0)"
TERMS_3_N_24_ES_0_SIZE_256_NAPP,256,38.9825,58.4863,16.878,17.2121,122.569,140.277,120.812,139.547,NAPP,"T:3 (24,0)"
TERMS_3_N_24_ES_0_SIZE_64_APP,64,63.3208,86.8822,19.2842,19.3456,123.43,139.943,121.523,138.827,APP,"T:3 (24,0)"
TERMS_3_N_24_ES_0_SIZE_64_NAPP,64,63.979,87.6728,28.9198,28.9418,123.528,140.038,121.949,139.461,NAPP,"T:3 (24,0)"
TERMS_3_N_24_ES_1_SIZE_128_APP,128,44.2144,62.027,17.0202,17.1291,116.546,140.065,115.061,139.159,APP,"T:3 (24,1)"
TERMS_3_N_24_ES_1_SIZE_128_NAPP,128,44.8962,67.4045,22.3986,22.718,117.195,140.122,115.796,139.845,NAPP,"T:3 (24,1)"
TERMS_3_N_24_ES_1_SIZE_256_APP,256,32.8371,54.4373,14.3085,14.744,116.416,139.952,116.228,138.799,APP,"T:3 (24,1)"
TERMS_3_N_24_ES_1_SIZE_256_NAPP,256,33.1051,58.4863,16.5032,17.2121,116.752,140.277,116.984,139.547,NAPP,"T:3 (24,1)"
TERMS_3_N_24_ES_1_SIZE_64_APP,64,57.9305,86.8822,19.2708,19.3456,114.853,139.943,113.433,138.827,APP,"T:3 (24,1)"
TERMS_3_N_24_ES_1_SIZE_64_NAPP,64,58.6203,87.6728,28.842,28.9418,115.511,140.038,114.115,139.461,NAPP,"T:3 (24,1)"
TERMS_3_N_24_ES_2_SIZE_128_APP,128,38.0931,62.027,16.9103,17.1291,111.053,140.065,109.453,139.159,APP,"T:3 (24,2)"
